keys,ko
"ZODIAC_RAT","쥐"
"ZODIAC_OX","소"
"ZODIAC_TIGER","호랑이"
"ZODIAC_RABBIT","토끼"
"ZODIAC_DRAGON","용"
"ZODIAC_SNAKE","뱀"
"ZODIAC_HORSE","말"
"ZODIAC_SHEEP","양"
"ZODIAC_MONKEY","원숭이"
"ZODIAC_ROOSTER","닭"
"ZODIAC_DOG","개"
"ZODIAC_PIG","돼지"
"HUD_ZONE_SHRINKING","안전 구역 축소 중"
"HUD_ZONE_FINAL","최종 안전 구역"
"HUD_ZONE_COUNTDOWN","축소까지 %d초"
"HUD_ATTACK","공격"
"HUD_MEDKIT_KEY","약"
"HUD_MEDKIT","메드킷"
"HUD_DASH","대시"
"HUD_RETURN_TOUCH","대기실로 버튼을 누르세요"
"HUD_RETURN_KB","대기실로 버튼 또는 ESC"
"HUD_PLAYER_DOWN","P%d %s님이 쓰러졌습니다."
"HUD_SPECTATE_TARGET","관전 P%d %s / %s"
"HUD_SPECTATE_ELIMINATED","탈락 - 관전 중"
"HUD_SPECTATE_HINT","A/D 또는 TAB: 관전 대상 변경  |  SPACE: 1위 자동 추적"
"FLOW_DEFAULT_NAME","플레이어%02d"
"FLOW_FALLBACK_NAME","플레이어"
"FLOW_NO_HUB","허브 클라이언트가 없습니다."
"FLOW_CONNECTING","허브에 연결하는 중입니다."
"FLOW_WAITING_HUB","허브 연결을 기다리는 중입니다."
"FLOW_NO_ROOMS","열린 방이 없습니다. 방을 만들어 시작하세요!"
"FLOW_SYSTEM","시스템"
"FLOW_HUB_FAIL","허브에 연결하지 못했습니다. 다시 연결을 눌러 주세요."
"FLOW_LAST_STANDING","최후의 1인이 승리합니다!"
"FLOW_PEER_ME","(나)"
"FLOW_RECONNECT_WAIT","재접속 대기"
"FLOW_HOST","호스트"
"FLOW_WAITING","대기 중"
"FLOW_JOIN_ON_START","시작 시 참여"
"FLOW_ENTERED_ROOM","방에 입장했습니다. %d/8명."
"FLOW_HOST_CAN_CHANGE","호스트가 게임을 바꿀 수 있습니다. 빈 자리는 시작 시 CPU가 채웁니다."
"FLOW_START_GAME","게임 시작"
"FLOW_RETURN_GAME","게임으로 돌아가기"
"THEME_ANIMAL_RABBIT","토끼"
"THEME_ANIMAL_RAT","쥐"
"THEME_ANIMAL_TIGER","호랑이"
"THEME_ANIMAL_OX","황소"
"THEME_ANIMAL_DRAGON","용"
"THEME_ANIMAL_HORSE","말"
"THEME_ANIMAL_ROOSTER","닭"
"THEME_ANIMAL_PIG","돼지"
"THEME_NICK_RABBIT","토토"
"THEME_NICK_RAT","찍찍"
"THEME_NICK_TIGER","호랑"
"THEME_NICK_OX","황소"
"THEME_NICK_DRAGON","용용"
"THEME_NICK_HORSE","말말"
"THEME_NICK_ROOSTER","꼬끼오"
"THEME_NICK_PIG","꿀꿀"
"MODE_CLASSIC_TITLE","클래식"
"MODE_CLASSIC_DESC","시작부터 각자 다른 총. 필드 힐만."
"MODE_SEMI_TITLE","단발"
"MODE_SEMI_DESC","모두 단발 권총 시작. 처치 시 총 업그레이드."
"MODE_AUTO_TITLE","연발"
"MODE_AUTO_DESC","모두 연발 권총 시작. 처치 시 총 업그레이드."
"MODE_ITEM_TITLE","아이템"
"MODE_ITEM_DESC","같은 총 고정. 액티브 하나. E 사용. 사망 시 드롭."
"MODE_FULL_TITLE","풀"
"MODE_FULL_DESC","랜덤 총 + 메드킷 루팅 + 처치 시 총 업그레이드."
"TOUCH_EXIT","나가기"
"TOUCH_TO_LOBBY","대기실로"
"BUFF_ATTACK_UP","이번 목숨 동안 공격력이 올라갑니다"
"BUFF_SPEED_UP","이번 목숨 동안 이동속도가 빨라집니다"
"BUFF_DEFENSE","받는 피해가 줄어듭니다"
"BUFF_MAX_HP","최대 체력과 현재 체력이 늘어납니다"
"BUFF_FIRE_RATE","연사 속도가 빨라집니다"
"BUFF_RANGE","총알이 더 멀리 나갑니다"
"BUFF_GROW","몸이 커지고 공격과 이동이 세집니다"
"BUFF_MEGA_GROW","더 크게 변하고 능력치가 크게 오릅니다"
"BUFF_SHIELD","잠시 보호막이 생깁니다"
"BUFF_BERSERK","공격과 연사가 잠깐 폭주합니다"
"BUFF_SNIPER","사거리가 늘어나고 한 방이 세집니다"
"BUFF_STUN","2초 동안 공격과 대시를 쓸 수 없습니다"
"BUFF_DEFAULT","효과를 얻었습니다"
"LOBBY_HOW_TO_PLAY","조작"
"LOBBY_STEP","1 / 2  로비"
"LOBBY_SUBTITLE","방을 만들거나 들어갑니다"
"LOBBY_REFRESH","새로고침"
"LOBBY_SETTINGS","설정"
"LOBBY_NICKNAME","닉네임"
"LOBBY_CREATE_ROOM","방 만들기"
"LOBBY_RETRY","다시 연결"
"LOBBY_PRACTICE","연습하기 (로컬)"
"LOBBY_OPEN_ROOMS","열린 방"
"LOBBY_ROOM_DEFAULT","방"
"LOBBY_JOIN","참가"
"ROOM_BACK","뒤로"
"ROOM_STEP","2 / 2  로비  >  방"
"ROOM_SUBTITLE","멤버와 게임을 고르세요"
"ROOM_SOUND","소리"
"ROOM_SETTINGS","설정"
"ROOM_EMPTY_HINT","빈 자리는 시작 시 CPU가 채웁니다"
"ROOM_CPU_AUTO","CPU  자동 참여"
"ROOM_START_GAME","게임 시작"
"ROOM_HOST_HINT","호스트가 시작하면 출발합니다"
"ROOM_CHAT","채팅"
"ROOM_CHAT_PLACEHOLDER","메시지를 입력하세요..."
"ROOM_CHAT_SEND","전송"
"ROOM_NOTE","참고"
"ROOM_TIP","안전 구역은 시간이 지날수록 줄어듭니다. 마지막까지 생존하세요!"
"ROOM_READY","준비 완료"
"ROOM_KICK","내보내기"
"SETTINGS_TITLE","설정"
"SETTINGS_CONTROL_MODE","조작 방식"
"SETTINGS_SOUND","소리"
"SETTINGS_SOUND_ON","효과음 켜기"
"SETTINGS_CLOSE","닫기"
"SETTINGS_EXIT_LOBBY","로비로 나가기"
"HOW_BREADCRUMB","로비  >  조작"
"HOW_TITLE","조작"
"HOW_LINE1","가로 화면 기준입니다."
"HOW_LINE2","키보드: WASD 이동  ·  마우스 조준"
"HOW_LINE3","터치: 왼쪽 스틱 이동  ·  오른쪽 스틱 조준"
"HOW_LINE4","LMB / 공격 버튼 기본 공격  ·  RMB / 스킬 버튼"
"HOW_LINE5","최후의 1인이 이깁니다. 안전 구역은 줄어듭니다."
"HOW_BACK","뒤로"
"CONTROL_PC","PC 키보드형"
"CONTROL_MOBILE","모바일형"
"CONTROL_AUTO","자동"
"CONTROL_PC_DESC","WASD 이동 · 마우스 조준 · 가상 스틱/버튼 숨김"
"CONTROL_MOBILE_DESC","화면 스틱/버튼 항상 표시 · 키보드도 함께 사용 가능"
"CONTROL_AUTO_DESC","기기에 맞춰 결정 (모바일·웹·터치스크린이면 모바일형)"
"NET_DEFAULT_WEAPON","권총"
"NET_DEFAULT_GUN","총"
"NET_KICKED","방에서 내보내졌습니다."
"NET_DROPPED","연결이 만료되었습니다"
"NET_DEFAULT_PLAYER","플레이어"
"GAME_RECONNECTING","연결이 끊겼습니다. 같은 자리로 다시 붙는 중입니다."
