Fox 24-frame duplicate and cell analysis
exact_duplicates=0
near_duplicates=1
small_suspicious_components=[]
margin_failures=[]
closest_pairs:
01-13: hamming=20, alpha_mad=0.0249
19-21: hamming=21, alpha_mad=0.0250
04-07: hamming=22, alpha_mad=0.0207
04-15: hamming=23, alpha_mad=0.0199
04-10: hamming=24, alpha_mad=0.0202
09-16: hamming=24, alpha_mad=0.0244
10-15: hamming=25, alpha_mad=0.0246
07-15: hamming=25, alpha_mad=0.0288
07-17: hamming=27, alpha_mad=0.0289
05-11: hamming=27, alpha_mad=0.0308
07-10: hamming=28, alpha_mad=0.0250
15-17: hamming=28, alpha_mad=0.0349
21-24: hamming=29, alpha_mad=0.0271
03-16: hamming=29, alpha_mad=0.0307
08-16: hamming=29, alpha_mad=0.0369
21-22: hamming=30, alpha_mad=0.0303
10-17: hamming=31, alpha_mad=0.0326
05-13: hamming=31, alpha_mad=0.0333
01-11: hamming=32, alpha_mad=0.0307
15-18: hamming=32, alpha_mad=0.0323
