Rhino 24-frame duplicate analysis
method: normalized alpha silhouette, 32x32 aHash + 64x64 mean absolute alpha difference
exact_duplicates=0
near_duplicates=8
closest_pairs:
06-24: hamming=8, alpha_mad=0.0157
18-24: hamming=15, alpha_mad=0.0148
07-20: hamming=15, alpha_mad=0.0158
08-10: hamming=18, alpha_mad=0.0177
14-23: hamming=18, alpha_mad=0.0185
06-18: hamming=19, alpha_mad=0.0229
12-24: hamming=20, alpha_mad=0.0222
04-16: hamming=20, alpha_mad=0.0230
04-10: hamming=21, alpha_mad=0.0186
12-18: hamming=21, alpha_mad=0.0249
08-20: hamming=23, alpha_mad=0.0206
04-08: hamming=23, alpha_mad=0.0214
19-21: hamming=23, alpha_mad=0.0217
08-16: hamming=23, alpha_mad=0.0288
09-24: hamming=24, alpha_mad=0.0246
16-20: hamming=24, alpha_mad=0.0271
18-22: hamming=24, alpha_mad=0.0272
06-12: hamming=24, alpha_mad=0.0295
10-19: hamming=25, alpha_mad=0.0274
20-21: hamming=27, alpha_mad=0.0241
